城市,日期,最高温,最低温,天气,风力风向,空气质量指数
北京,2020-05-09 周六,19°,13°,阴~晴,西南风2级,47 优
北京,2020-05-10 周日,25°,14°,多云,西北风3级,56 良
北京,2020-05-11 周一,27°,13°,阴~晴,西北风3级,75 良
北京,2020-05-12 周二,26°,12°,晴,西北风2级,97 良
北京,2020-05-13 周三,30°,18°,晴~多云,西南风2级,117 轻度
北京,2020-05-14 周四,30°,15°,多云,南风3级,104 轻度
北京,2020-05-15 周五,22°,15°,阴~雷阵雨,东南风2级,93 良
北京,2020-05-16 周六,22°,13°,浮尘,东风2级,66 良
北京,2020-05-17 周日,22°,14°,多云,西北风2级,66 良
北京,2020-05-18 周一,26°,15°,多云,北风3级,42 优
北京,2020-05-19 周二,30°,15°,晴,西南风2级,54 良
北京,2020-05-20 周三,29°,16°,多云,东北风2级,68 良
北京,2020-05-21 周四,22°,15°,阴~多云,东风2级,114 轻度
北京,2020-05-22 周五,29°,16°,晴~雷阵雨,西北风3级,79 良
北京,2020-05-23 周六,26°,16°,小雨~晴,西北风3级,56 良
北京,2020-05-24 周日,29°,17°,晴,西北风2级,33 优
北京,2020-05-25 周一,24°,13°,小雨~多云,东北风2级,44 优
北京,2020-05-26 周二,28°,16°,晴~小雨,西北风2级,34 优
北京,2020-05-27 周三,30°,16°,晴,西北风3级,45 优
北京,2020-05-28 周四,32°,17°,多云~雷阵雨,东南风2级,82 良
北京,2020-05-29 周五,29°,21°,阴~多云,东风2级,111 轻度
北京,2020-05-30 周六,31°,18°,阴~雷阵雨,南风3级,116 轻度
北京,2020-05-31 周日,28°,16°,中雨~晴,西北风3级,73 良
北京,2020-06-01 周一,31°,16°,晴~雷阵雨,西南风2级,62 良
北京,2020-06-02 周二,32°,20°,晴,西南风2级,89 良
北京,2020-06-03 周三,36°,20°,浮尘~晴,西北风3级,168 中度
北京,2020-06-04 周四,32°,18°,晴~多云,东风2级,44 优
北京,2020-06-05 周五,30°,17°,晴,东南风2级,42 优
北京,2020-06-06 周六,31°,19°,晴~多云,东南风2级,64 良
北京,2020-06-07 周日,35°,24°,多云~晴,南风2级,83 良
北京,2020-06-08 周一,37°,26°,多云,西南风3级,97 良
北京,2020-06-09 周二,28°,21°,阴~雷阵雨,东风2级,73 良
北京,2020-06-10 周三,33°,21°,阴~晴,西北风2级,93 良
北京,2020-06-11 周四,31°,21°,阴~雷阵雨,北风2级,85 良
北京,2020-06-12 周五,34°,23°,阴~多云,西南风2级,80 良
北京,2020-06-13 周六,32°,23°,阴~晴,西北风2级,95 良
北京,2020-06-14 周日,34°,22°,晴,西北风3级,36 优
北京,2020-06-15 周一,37°,22°,多云,西南风2级,62 良
北京,2020-06-16 周二,36°,24°,阴~多云,南风2级,100 良
北京,2020-06-17 周三,31°,21°,阴,西南风3级,66 良
北京,2020-06-18 周四,32°,22°,阴~多云,西南风2级,63 良
北京,2020-06-19 周五,32°,24°,小雨~多云,西南风3级,59 良
北京,2020-06-20 周六,33°,25°,阴~雷阵雨,西南风3级,81 良
北京,2020-06-21 周日,34°,25°,多云~晴,西南风3级,75 良
北京,2020-06-22 周一,32°,24°,多云,南风3级,86 良
北京,2020-06-23 周二,31°,22°,阴~多云,东南风3级,73 良
北京,2020-06-24 周三,29°,22°,阴~雷阵雨,东南风2级,35 优
北京,2020-06-25 周四,29°,20°,阴~雷阵雨,南风2级,51 良
北京,2020-06-26 周五,28°,21°,小雨~多云,东南风2级,44 优
北京,2020-06-27 周六,32°,22°,晴~多云,东南风2级,111 轻度
北京,2020-06-28 周日,30°,22°,阴~雷阵雨,南风2级,101 轻度
北京,2020-06-29 周一,27°,21°,阴~小雨,东风2级,48 优
北京,2020-06-30 周二,34°,22°,阴~多云,西北风1级,41 优
北京,2020-07-01 周三,34°,22°,阴~雷阵雨,东风2级,74 良
北京,2020-07-02 周四,28°,21°,阴~中雨,东北风2级,49 优
北京,2020-07-03 周五,27°,20°,小雨~多云,东风2级,71 良
北京,2020-07-04 周六,30°,22°,阴~雷阵雨,西南风2级,72 良
北京,2020-07-05 周日,32°,21°,阴~雷阵雨,北风2级,53 良
北京,2020-07-06 周一,33°,22°,多云,东南风2级,53 良
北京,2020-07-07 周二,33°,21°,小雨~晴,东北风2级,34 优
北京,2020-07-08 周三,32°,21°,晴~雷阵雨,南风2级,74 良
北京,2020-07-09 周四,23°,19°,中雨~阴,东南风2级,46 优
北京,2020-07-10 周五,25°,21°,多云~雷阵雨,东南风2级,64 良
北京,2020-07-11 周六,26°,22°,阴~雷阵雨,东南风2级,111 轻度
北京,2020-07-12 周日,28°,21°,阴~雾,东南风2级,133 轻度
北京,2020-07-13 周一,30°,22°,阴~多云,东南风2级,73 良
北京,2020-07-14 周二,31°,22°,多云,西南风2级,54 良
北京,2020-07-15 周三,33°,22°,晴,西南风2级,59 良
北京,2020-07-16 周四,33°,25°,多云~雷阵雨,西南风3级,70 良
北京,2020-07-17 周五,29°,23°,阴~雷阵雨,西南风3级,67 良
北京,2020-07-18 周六,27°,22°,阴~雷阵雨,东南风2级,64 良
北京,2020-07-19 周日,32°,20°,多云~晴,东北风2级,55 良
